Amount,Date,Source
15000,2025-01-05,Part-time Job
8000,2025-01-20,Freelancing
12000,2025-02-03,Scholarship
9000,2025-02-25,Tutoring
18000,2025-03-10,Internship Stipend
7000,2025-03-22,Freelancing
16000,2025-04-05,Part-time Job
10000,2025-04-18,Project Work
14000,2025-05-02,Scholarship
7500,2025-05-17,Tutoring
20000,2025-06-09,Internship Stipend
8500,2025-06-27,Freelancing
17000,2025-07-08,Part-time Job
11000,2025-07-23,Project Work
13000,2025-08-12,Tutoring
9500,2025-09-05,Freelancing
21000,2025-09-28,Internship Stipend
14500,2025-10-14,Part-time Job
15500,2025-11-03,Scholarship
9000,2025-12-19,Tutoring
